no_of_student,day,item_1_name,item_1_cooked,item_1_left_over,item_2_name,item_2_cooked,item_2_left_over,item_3_name,item_3_cooked,item_3_left_over
507,Saturday,dosa,13.45,2.45,roti,10.84,1.58,rajma,9.46,1.77
446,Saturday,pulao,17.13,1.12,biryani,19.65,3.81,vada,15.0,3.41
527,Monday,khichdi,17.42,4.05,idli,11.12,2.56,roti,9.77,2.44
524,Sunday,roti,16.15,2.52,paneer,16.14,2.08,poori,15.04,3.41
576,Sunday,sambar,11.6,1.78,dosa,9.12,1.54,pulao,14.2,1.49
420,Wednesday,idli,7.27,0.91,paneer,15.84,0.9,biryani,7.77,0.53
512,Friday,dal,11.31,1.72,rajma,10.67,0.6,pulao,12.76,3.07
513,Tuesday,poori,5.78,0.68,upma,12.56,3.06,dal,18.31,3.32
473,Saturday,rajma,16.8,1.85,paneer,7.86,1.05,sambar,19.14,1.92
442,Friday,pulao,17.03,3.1,dosa,13.23,2.59,rajma,16.0,1.71
526,Friday,roti,11.04,1.24,pulao,14.13,1.67,dal,9.13,1.43
492,Monday,rajma,6.43,1.36,chole,17.95,1.96,biryani,17.5,3.69
569,Thursday,dosa,5.11,0.75,poori,5.25,0.91,upma,6.6,1.21
474,Thursday,vada,14.74,1.43,sambar,12.26,1.58,idli,9.27,0.93
554,Monday,sambar,10.32,1.38,khichdi,8.92,0.49,roti,19.85,2.25
549,Friday,chole,18.04,0.98,paratha,9.79,0.79,poori,7.44,1.84
563,Wednesday,khichdi,12.3,1.53,poori,7.43,1.12,upma,17.43,4.32
505,Wednesday,upma,7.21,1.51,sambar,6.25,0.5,dal,11.71,1.52
579,Friday,biryani,6.56,0.65,vada,17.06,4.26,sambar,18.81,1.57
520,Saturday,paneer,14.33,2.22,vada,6.13,1.15,upma,12.44,1.94
514,Saturday,dal,18.81,2.56,sambar,15.96,3.95,upma,5.4,0.99
406,Monday,upma,7.22,0.41,dosa,7.8,1.9,dal,18.7,1.89
440,Thursday,vada,16.78,2.59,paratha,16.88,1.17,sambar,10.33,1.25
580,Sunday,vada,9.18,0.56,poori,11.23,2.33,sambar,6.7,1.16
400,Sunday,pulao,5.33,0.28,roti,17.17,1.48,dal,15.63,2.91
480,Tuesday,vada,17.99,2.82,upma,11.62,1.53,roti,10.15,0.64
404,Wednesday,chole,6.6,1.1,roti,13.75,2.32,biryani,13.59,2.59
565,Friday,dosa,16.48,3.44,poori,17.94,2.83,biryani,18.04,2.52
465,Thursday,dosa,17.34,3.9,chole,18.18,3.49,idli,18.54,4.36
401,Saturday,dal,5.8,0.73,paratha,9.83,1.59,sambar,12.86,1.0
411,Saturday,upma,5.96,1.45,poori,7.88,1.79,rajma,13.91,2.23
597,Monday,vada,11.02,1.13,dal,18.82,3.65,chole,19.71,3.99
551,Monday,chole,13.27,1.01,vada,8.84,1.45,rajma,8.18,0.76
425,Sunday,paratha,8.14,0.69,vada,9.34,2.07,idli,16.75,1.97
432,Sunday,vada,9.0,2.13,roti,16.9,3.23,rajma,10.82,1.03
414,Saturday,roti,6.74,0.35,paneer,19.85,1.06,biryani,6.97,1.27
504,Sunday,khichdi,10.18,1.77,upma,11.82,1.52,paneer,19.97,1.28
485,Thursday,pulao,15.99,3.82,khichdi,15.66,0.82,dosa,15.81,3.48
478,Friday,dosa,10.69,1.93,rajma,14.23,1.18,sambar,6.83,0.53
459,Thursday,khichdi,6.11,0.66,pulao,6.12,1.44,vada,12.67,1.01
600,Saturday,poori,9.69,2.23,sambar,19.01,2.51,pulao,8.37,0.84
409,Tuesday,khichdi,19.1,4.01,dal,9.82,1.67,poori,11.73,1.55
511,Thursday,poori,7.72,1.82,rajma,18.12,2.43,paratha,11.24,1.58
597,Saturday,roti,15.38,0.88,dal,6.75,1.58,paneer,9.98,1.45
424,Sunday,dosa,5.83,0.56,chole,7.0,1.43,dal,11.45,1.96
451,Monday,biryani,19.4,4.23,khichdi,8.52,1.95,roti,14.48,1.38
509,Sunday,paratha,18.61,1.94,rajma,15.38,3.17,poori,5.74,1.12
486,Tuesday,chole,7.24,1.61,poori,11.5,2.58,paratha,16.27,1.94
517,Monday,khichdi,18.36,3.6,chole,10.95,0.67,dosa,5.95,0.91
