no_of_student,day,item_1_name,item_1_cooked,item_1_left_over,item_2_name,item_2_cooked,item_2_left_over,item_3_name,item_3_cooked,item_3_left_over
412,Tuesday,papu,8.86,1.71,rasam,7.86,1.73,sambar,17.03,1.92
562,Sunday,papu,7.73,1.36,rasam,10.87,2.38,sambar,9.55,1.71
445,Saturday,papu,16.97,2.57,rasam,16.43,4.1,sambar,17.41,2.29
513,Thursday,papu,10.97,2.16,rasam,18.04,4.5,sambar,16.64,2.07
451,Friday,papu,13.93,0.95,rasam,16.06,1.86,sambar,11.18,1.37
517,Sunday,papu,12.85,2.83,rasam,10.26,0.61,sambar,8.15,1.53
449,Wednesday,papu,10.53,2.43,rasam,13.3,3.18,sambar,8.53,0.59
567,Monday,papu,9.96,1.46,rasam,17.24,4.3,sambar,11.3,2.24
512,Saturday,papu,13.63,2.97,rasam,16.9,3.17,sambar,14.04,2.69
566,Sunday,papu,7.13,0.52,rasam,8.31,1.06,sambar,14.11,2.29
410,Sunday,papu,18.89,4.47,rasam,19.63,2.24,sambar,9.01,1.78
487,Thursday,papu,11.47,1.06,rasam,14.37,2.43,sambar,5.07,1.22
411,Wednesday,papu,18.43,3.34,rasam,6.37,0.9,sambar,19.99,4.94
501,Thursday,papu,6.72,1.29,rasam,7.27,1.03,sambar,18.53,2.95
563,Friday,papu,12.98,1.37,rasam,16.09,2.89,sambar,15.11,3.03
406,Sunday,papu,18.22,3.98,rasam,8.64,0.84,sambar,8.6,0.48
452,Friday,papu,11.68,1.79,rasam,6.93,0.62,sambar,15.54,2.15
446,Friday,papu,11.99,2.64,rasam,6.19,1.03,sambar,16.64,4.06
575,Wednesday,papu,11.73,1.54,rasam,10.33,1.59,sambar,16.39,3.26
478,Tuesday,papu,16.96,3.42,rasam,6.17,1.13,sambar,12.14,2.8
456,Thursday,papu,18.09,4.23,rasam,17.14,4.01,sambar,16.06,3.5
507,Wednesday,papu,19.96,1.6,rasam,11.95,2.45,sambar,17.32,1.61
443,Sunday,papu,17.12,1.01,rasam,17.18,3.42,sambar,18.93,4.08
472,Friday,papu,13.98,1.73,rasam,7.54,1.82,sambar,12.29,1.04
551,Wednesday,papu,18.63,1.83,rasam,18.06,1.32,sambar,6.81,1.42
528,Sunday,papu,7.21,1.49,rasam,16.55,2.14,sambar,7.27,1.45
443,Monday,papu,9.68,0.82,rasam,8.78,1.28,sambar,14.21,2.82
452,Monday,papu,18.5,3.27,rasam,14.86,3.33,sambar,16.89,4.12
485,Tuesday,papu,8.42,1.28,rasam,12.82,2.87,sambar,7.45,1.78
488,Monday,papu,16.87,1.07,rasam,7.7,1.85,sambar,13.82,1.47
409,Saturday,papu,16.73,1.38,rasam,13.79,2.15,sambar,16.28,1.3
577,Tuesday,papu,5.91,1.4,rasam,13.15,0.97,sambar,11.36,2.59
472,Tuesday,papu,16.24,3.34,rasam,12.42,0.65,sambar,13.09,1.28
428,Thursday,papu,12.83,2.2,rasam,14.49,3.24,sambar,10.14,2.39
464,Thursday,papu,11.56,1.5,rasam,17.51,1.08,sambar,5.33,1.33
471,Saturday,papu,9.87,1.61,rasam,7.73,1.0,sambar,7.33,1.47
550,Monday,papu,7.44,1.73,rasam,6.66,0.93,sambar,14.97,1.57
540,Tuesday,papu,9.79,1.52,rasam,17.11,1.22,sambar,7.02,1.12
564,Thursday,papu,16.29,0.82,rasam,5.86,1.16,sambar,10.58,1.67
