no_of_student,day,item_1_name,item_1_cooked,item_1_left_over,item_2_name,item_2_cooked,item_2_left_over,item_3_name,item_3_cooked,item_3_left_over
100,Tuesday,khichdi,21.03,3.85,poori,64.5,9.85,paneer,46.24,7.69
818,Tuesday,dal,15.24,2.44,pulao,90.73,5.88,roti,81.35,5.14
654,Wednesday,chole,44.29,10.48,khichdi,57.76,5.54,roti,75.54,10.97
343,Thursday,vada,34.56,1.74,chole,10.88,2.09,paratha,37.56,4.06
512,Saturday,chole,88.81,15.92,vada,16.19,1.0,paneer,58.99,5.14
844,Monday,sambar,98.44,9.25,rajma,89.48,5.23,dosa,49.2,7.67
449,Friday,roti,91.84,17.95,biryani,36.45,7.21,dal,48.62,9.56
209,Monday,pulao,99.02,5.44,roti,85.98,10.35,paratha,66.11,6.12
255,Saturday,vada,56.14,9.76,pulao,45.09,5.69,khichdi,16.22,3.37
851,Saturday,chole,49.16,4.76,dal,8.41,0.51,vada,13.91,2.23
926,Wednesday,khichdi,8.38,1.83,roti,71.95,17.1,dosa,64.83,3.32
951,Thursday,paratha,84.42,18.12,vada,11.78,0.67,roti,29.67,6.19
853,Saturday,paneer,61.95,4.45,idli,73.74,4.25,rajma,51.1,8.68
171,Tuesday,khichdi,97.76,11.31,sambar,52.72,11.65,upma,57.67,3.9
747,Friday,idli,11.18,1.36,paneer,96.87,10.88,dosa,52.92,12.19
856,Saturday,paratha,84.84,19.19,khichdi,20.2,3.83,upma,11.51,1.96
431,Wednesday,paneer,4.71,1.13,roti,7.74,1.07,rajma,58.75,12.28
698,Saturday,paneer,32.98,3.42,upma,12.77,1.34,biryani,97.4,11.72
397,Saturday,paneer,83.54,14.02,pulao,40.41,2.91,biryani,94.11,18.02
206,Monday,khichdi,78.08,16.47,dosa,11.07,2.71,sambar,28.14,6.06
394,Friday,khichdi,95.11,12.08,upma,24.23,5.04,dosa,1.06,0.18
594,Sunday,sambar,88.24,17.08,paneer,30.78,4.3,biryani,29.83,3.9
505,Wednesday,pulao,83.67,8.54,poori,67.2,7.44,dal,40.79,2.48
381,Saturday,roti,36.71,4.72,pulao,16.16,3.58,idli,34.4,3.74
715,Monday,dal,83.69,6.98,sambar,30.34,1.6,vada,14.62,0.76
304,Thursday,chole,23.14,3.62,sambar,98.01,21.92,upma,91.5,5.8
591,Tuesday,paneer,45.1,3.03,khichdi,64.74,13.27,paratha,77.86,7.41
992,Tuesday,poori,47.12,3.25,roti,7.77,1.73,idli,62.0,14.57
174,Friday,dosa,45.51,8.63,roti,97.71,20.72,paneer,29.17,2.42
270,Wednesday,sambar,5.55,0.82,dal,78.82,7.17,pulao,23.47,5.2
209,Thursday,idli,69.38,8.93,paneer,46.28,10.94,chole,17.54,3.59
359,Monday,paratha,68.39,3.98,khichdi,19.65,4.17,pulao,55.12,2.94
701,Wednesday,pulao,48.26,10.66,chole,45.1,8.56,poori,28.72,3.46
457,Friday,sambar,45.3,10.6,paratha,75.69,13.59,rajma,20.22,1.32
250,Wednesday,paneer,67.63,8.51,chole,92.27,7.5,upma,20.36,1.97
652,Saturday,idli,91.98,16.66,sambar,80.92,10.84,dal,66.65,13.58
854,Tuesday,dosa,28.1,6.0,rajma,52.86,4.51,paratha,45.02,6.34
582,Saturday,dal,20.64,1.6,idli,42.39,3.39,rajma,64.72,6.94
184,Tuesday,dosa,15.62,2.99,upma,88.83,16.99,paratha,5.26,1.12
639,Wednesday,rajma,60.02,9.06,dosa,62.62,6.99,roti,93.6,8.74
817,Friday,dosa,53.6,7.49,chole,84.82,13.12,khichdi,18.94,2.54
826,Wednesday,rajma,62.95,5.88,vada,47.03,9.81,poori,48.15,5.02
205,Wednesday,biryani,34.35,5.8,roti,36.1,6.74,idli,8.42,0.82
578,Sunday,poori,49.41,2.87,upma,60.05,10.0,idli,48.72,11.72
407,Saturday,pulao,44.57,6.43,khichdi,64.09,4.53,dosa,47.65,5.13
863,Sunday,chole,75.43,7.67,dosa,35.33,7.72,roti,51.14,11.19
402,Thursday,roti,16.81,2.25,paratha,34.72,6.74,biryani,65.07,15.89
757,Thursday,chole,23.48,5.65,paratha,42.96,9.98,dal,99.74,14.23
636,Monday,dosa,36.45,7.01,vada,14.86,3.59,roti,99.49,22.77
903,Thursday,upma,31.26,2.22,vada,79.37,8.94,paneer,52.83,5.48
742,Wednesday,idli,6.41,1.53,sambar,31.75,2.75,upma,95.33,14.24
293,Saturday,dosa,10.25,2.48,chole,67.45,6.26,paneer,76.45,9.31
903,Thursday,sambar,31.4,2.2,khichdi,27.32,1.74,pulao,33.77,2.62
856,Monday,paneer,91.42,8.42,rajma,44.03,3.73,roti,38.66,9.07
785,Sunday,rajma,43.57,8.71,dal,49.94,2.77,vada,88.59,5.59
461,Friday,khichdi,91.15,20.74,roti,28.04,1.85,upma,33.13,7.08
835,Wednesday,dal,20.95,5.1,rajma,21.46,2.87,chole,64.84,3.29
854,Tuesday,roti,91.46,18.45,pulao,45.19,2.77,poori,82.99,4.83
783,Wednesday,vada,47.65,2.99,dal,16.74,3.46,sambar,55.76,12.51
930,Tuesday,pulao,11.83,2.56,vada,71.81,17.18,dal,95.34,10.21
636,Wednesday,sambar,77.06,9.15,poori,4.39,0.79,biryani,52.21,3.86
258,Wednesday,paneer,43.51,2.46,poori,73.85,7.38,roti,23.31,4.23
339,Tuesday,idli,14.63,1.57,poori,34.53,4.81,paratha,70.33,9.54
118,Thursday,khichdi,86.64,21.49,pulao,43.12,8.06,biryani,65.15,4.79
152,Wednesday,dal,14.85,2.79,vada,86.39,10.53,paratha,84.88,17.12
531,Tuesday,dal,9.48,1.85,idli,40.0,2.62,poori,98.68,9.66
979,Tuesday,khichdi,32.52,6.02,sambar,16.39,2.51,paratha,72.78,16.4
670,Friday,pulao,13.88,0.71,rajma,92.61,13.75,vada,8.04,1.12
417,Tuesday,upma,30.23,2.42,chole,12.6,2.12,rajma,62.05,15.45
729,Saturday,rajma,23.4,2.56,dal,84.62,14.35,biryani,99.7,21.22
222,Saturday,rajma,39.59,6.91,pulao,73.73,17.53,chole,82.47,11.81
830,Sunday,paneer,61.07,3.12,upma,41.35,7.11,pulao,71.19,11.18
680,Saturday,paratha,89.72,5.69,biryani,84.32,16.48,pulao,51.37,12.47
623,Friday,biryani,32.65,3.36,idli,1.1,0.22,rajma,43.1,3.97
507,Tuesday,poori,45.68,5.25,khichdi,97.21,21.83,vada,59.16,6.52
258,Tuesday,paneer,11.44,2.05,poori,98.56,6.55,paratha,12.28,1.62
145,Sunday,chole,42.72,6.08,dal,70.56,4.48,vada,1.37,0.34
289,Wednesday,vada,17.29,2.08,biryani,24.5,2.53,roti,4.15,0.47
145,Sunday,rajma,92.58,16.32,chole,66.18,12.44,vada,17.63,1.82
577,Sunday,paneer,92.61,5.81,vada,69.58,15.7,pulao,53.8,11.66
129,Tuesday,poori,83.41,16.34,idli,1.66,0.09,dosa,60.89,10.55
415,Saturday,chole,36.21,3.96,paratha,95.45,19.74,poori,44.08,8.68
248,Sunday,khichdi,82.35,12.38,dosa,40.35,8.67,paratha,68.12,14.48
836,Thursday,upma,44.03,3.28,paratha,5.43,1.26,dal,7.61,0.49
774,Friday,vada,44.56,4.0,roti,88.01,14.55,paneer,51.82,7.65
137,Thursday,poori,33.81,3.42,dosa,66.38,5.51,khichdi,9.85,1.2
831,Thursday,poori,96.93,10.47,biryani,79.88,19.95,sambar,29.25,2.6
648,Thursday,paneer,7.64,0.74,dal,37.84,9.06,poori,72.09,12.78
979,Sunday,upma,96.72,23.92,biryani,11.58,1.2,sambar,44.52,8.1
858,Friday,idli,6.91,0.67,upma,9.12,1.39,pulao,51.27,8.79
295,Thursday,dosa,10.75,1.74,rajma,23.14,3.65,upma,42.4,5.25
986,Tuesday,vada,34.03,2.65,biryani,5.42,0.42,upma,72.03,12.97
354,Wednesday,dosa,11.77,2.06,vada,70.43,14.21,biryani,78.24,6.88
726,Monday,paratha,95.24,13.23,dosa,78.6,16.75,dal,59.44,10.24
188,Friday,dal,49.25,7.0,biryani,29.61,4.09,upma,28.45,3.82
102,Saturday,idli,33.26,4.53,paneer,23.42,2.37,khichdi,97.21,13.73
804,Thursday,paratha,53.92,11.16,paneer,96.76,22.72,dosa,59.02,12.37
263,Monday,roti,89.08,8.36,paneer,83.53,7.71,pulao,42.0,4.52
317,Tuesday,roti,31.05,4.08,chole,27.25,4.24,khichdi,66.32,3.94
1000,Friday,vada,66.86,11.12,upma,16.05,0.83,biryani,81.17,8.6
424,Friday,sambar,74.85,9.47,poori,46.38,3.64,chole,14.11,3.12
768,Tuesday,paratha,54.4,9.93,rajma,55.57,10.14,biryani,66.59,3.88
735,Thursday,khichdi,17.17,2.61,upma,67.41,11.29,dosa,68.69,4.2
168,Sunday,roti,74.58,13.68,dal,10.69,1.85,vada,26.64,2.21
623,Saturday,vada,13.46,0.92,poori,54.97,7.38,paratha,75.44,13.29
534,Tuesday,paneer,63.01,3.39,idli,38.8,6.81,rajma,11.03,0.79
669,Thursday,khichdi,85.57,5.0,dal,42.4,6.33,paneer,58.64,6.56
138,Wednesday,roti,32.16,4.41,dosa,32.34,8.08,pulao,84.32,15.78
514,Saturday,vada,44.97,9.32,biryani,89.8,16.65,poori,55.47,13.83
940,Monday,dal,79.55,6.97,rajma,48.56,7.04,sambar,82.82,8.24
800,Tuesday,paneer,70.63,5.34,vada,45.49,5.5,roti,95.68,16.79
800,Thursday,dal,70.35,12.51,dosa,76.54,9.53,paratha,71.74,16.07
627,Tuesday,paneer,86.4,14.75,vada,46.2,5.84,idli,36.41,4.01
761,Tuesday,dosa,66.82,9.17,khichdi,93.84,18.89,dal,24.05,4.24
340,Sunday,chole,41.46,7.94,idli,39.61,9.04,dosa,96.87,8.24
844,Friday,upma,31.18,5.55,paneer,47.68,3.73,paratha,36.22,5.68
144,Thursday,paneer,92.4,17.31,idli,68.3,5.12,sambar,98.39,10.2
743,Tuesday,sambar,96.19,19.1,pulao,37.45,1.97,roti,68.84,12.09
734,Monday,poori,73.28,5.14,dal,27.31,4.9,chole,22.29,2.05
275,Monday,rajma,32.43,3.24,sambar,88.21,21.03,vada,28.11,3.17
446,Sunday,upma,89.22,18.21,khichdi,65.83,10.15,paratha,45.27,10.49
123,Sunday,idli,46.4,8.42,vada,80.29,5.32,upma,14.92,2.28
391,Sunday,pulao,6.11,1.07,chole,73.78,9.4,paneer,92.98,6.93
840,Friday,biryani,1.39,0.21,sambar,59.14,5.15,pulao,13.83,2.58
570,Tuesday,dal,76.08,17.65,dosa,75.07,6.02,chole,55.06,9.48
190,Monday,upma,43.16,4.17,paratha,23.85,4.34,rajma,28.06,5.85
909,Tuesday,dosa,50.65,5.18,biryani,37.57,5.12,paneer,31.5,2.5
773,Thursday,poori,63.05,9.77,chole,48.01,4.43,biryani,16.86,2.63
372,Sunday,poori,53.13,10.28,upma,80.14,10.33,rajma,31.79,2.17
370,Tuesday,dal,47.51,10.16,poori,53.2,10.43,paratha,82.27,6.86
909,Friday,dal,62.4,3.46,idli,7.24,0.83,khichdi,2.59,0.47
823,Sunday,dal,40.73,10.06,paratha,4.76,0.64,roti,48.87,12.03
207,Sunday,pulao,15.15,2.11,dal,16.32,2.7,vada,94.56,20.46
324,Wednesday,paneer,71.65,6.17,biryani,91.23,22.45,rajma,56.91,5.82
664,Monday,paneer,73.25,9.38,chole,94.13,19.82,sambar,37.09,6.67
737,Sunday,biryani,99.65,20.38,vada,2.54,0.18,upma,48.96,3.68
783,Tuesday,dosa,52.62,12.61,paratha,71.54,10.68,roti,8.05,1.07
624,Tuesday,vada,41.56,5.43,poori,84.22,7.86,biryani,54.49,5.89
100,Tuesday,sambar,95.96,19.91,pulao,59.67,12.67,poori,50.23,12.01
615,Tuesday,dosa,71.42,12.72,biryani,16.66,1.27,khichdi,67.58,9.29
498,Tuesday,sambar,39.48,6.37,khichdi,9.8,2.06,paneer,94.07,18.67
184,Monday,paratha,73.02,7.74,paneer,39.98,2.87,pulao,95.0,15.32
730,Monday,dal,39.32,6.08,biryani,55.12,13.48,idli,64.1,12.9
521,Monday,pulao,92.64,9.05,paneer,86.51,15.03,sambar,67.84,13.39
436,Friday,poori,68.19,5.27,vada,93.14,15.07,khichdi,50.99,5.54
550,Sunday,paneer,2.21,0.19,sambar,16.21,1.61,roti,9.41,1.06
795,Wednesday,chole,18.47,2.79,pulao,64.07,9.02,sambar,78.67,17.83
171,Wednesday,chole,1.25,0.07,vada,42.04,3.35,rajma,71.46,16.49
349,Thursday,pulao,13.58,1.88,paratha,82.06,11.1,roti,92.32,7.79
155,Wednesday,poori,65.08,11.7,rajma,33.57,5.58,idli,71.77,10.43
864,Sunday,pulao,57.67,14.22,idli,28.47,6.71,roti,43.86,7.58
478,Sunday,idli,97.57,9.14,dosa,13.18,2.13,roti,29.58,5.84
962,Tuesday,pulao,74.85,5.56,roti,99.49,10.71,poori,11.59,1.66
523,Tuesday,rajma,53.64,3.58,paneer,94.91,12.15,khichdi,93.8,13.72
595,Monday,chole,31.78,1.74,dosa,45.55,8.85,paneer,86.04,6.69
358,Saturday,sambar,73.67,13.22,rajma,58.61,12.37,vada,26.21,2.29
295,Saturday,chole,82.91,16.25,rajma,45.56,4.79,biryani,79.95,5.13
163,Thursday,idli,31.63,4.48,pulao,32.38,2.99,dal,78.09,5.14
307,Wednesday,roti,47.7,7.35,chole,7.69,1.45,vada,96.83,8.65
785,Monday,dosa,96.47,22.85,vada,3.42,0.57,paratha,97.11,16.27
812,Friday,paneer,1.11,0.22,poori,94.5,7.81,chole,37.3,2.92
339,Sunday,idli,44.76,6.66,paneer,27.95,6.71,biryani,42.68,10.17
753,Monday,dal,20.55,3.21,roti,18.46,3.57,pulao,33.81,4.65
782,Thursday,idli,51.13,11.51,sambar,73.87,4.64,roti,55.2,6.7
269,Thursday,dal,5.75,0.88,paneer,35.6,5.37,rajma,75.39,13.86
489,Tuesday,sambar,7.92,0.75,vada,20.43,4.22,rajma,97.27,6.75
272,Saturday,khichdi,45.52,2.64,roti,40.91,6.49,biryani,73.88,14.91
710,Friday,khichdi,93.2,22.75,pulao,43.57,10.42,idli,24.92,2.4
964,Thursday,rajma,2.96,0.59,paratha,4.11,0.43,upma,20.29,4.63
850,Wednesday,poori,38.41,5.97,upma,71.32,14.44,vada,80.86,16.93
896,Sunday,chole,70.56,16.13,khichdi,90.36,7.41,upma,43.23,6.61
818,Monday,roti,13.88,1.55,biryani,18.26,1.25,khichdi,6.49,1.61
768,Monday,sambar,10.36,0.62,chole,52.68,12.18,dosa,83.72,5.47
705,Sunday,paratha,74.51,4.92,upma,26.24,6.28,rajma,99.1,20.75
454,Saturday,rajma,45.48,8.02,dosa,21.35,2.37,paneer,54.75,3.39
870,Tuesday,chole,79.22,19.04,khichdi,24.05,5.45,poori,40.7,10.05
554,Saturday,poori,82.74,17.5,pulao,21.05,3.65,dal,9.44,1.31
542,Friday,roti,5.43,0.63,idli,78.7,5.57,poori,42.22,5.23
609,Saturday,sambar,97.38,8.35,dal,80.74,10.27,upma,75.3,12.6
491,Thursday,vada,96.35,15.74,paratha,3.61,0.78,roti,44.55,5.09
375,Sunday,poori,76.61,5.42,biryani,71.89,6.14,pulao,69.98,6.06
251,Wednesday,rajma,21.54,2.93,poori,80.42,14.83,pulao,60.71,14.59
909,Friday,poori,57.72,5.62,dosa,26.33,3.01,pulao,15.52,1.37
758,Monday,rajma,31.23,7.54,upma,92.24,14.05,paneer,70.56,12.48
176,Saturday,dal,77.24,13.79,poori,22.08,2.0,paratha,40.21,6.84
895,Thursday,biryani,50.08,6.81,idli,6.84,1.41,khichdi,39.57,6.85
608,Thursday,paratha,15.04,1.31,rajma,3.85,0.25,paneer,99.1,10.45
258,Monday,dal,16.58,3.54,khichdi,97.07,15.77,chole,36.61,8.47
403,Friday,vada,49.26,11.06,chole,12.51,2.89,sambar,50.68,4.66
502,Tuesday,dosa,10.19,0.74,rajma,55.07,6.92,sambar,54.53,6.93
293,Monday,khichdi,58.29,8.64,dosa,85.89,15.37,idli,12.94,2.44
669,Friday,biryani,62.63,13.4,rajma,67.41,4.88,paneer,96.59,16.82
566,Friday,idli,77.1,5.34,rajma,40.33,7.34,roti,94.67,9.93
209,Saturday,dosa,13.88,1.1,chole,81.39,4.63,khichdi,34.28,7.68
726,Sunday,vada,95.47,9.17,upma,40.27,6.14,paneer,24.58,4.25
865,Monday,rajma,44.37,6.61,chole,81.63,19.65,paneer,7.28,1.58
407,Monday,dal,87.21,18.94,upma,32.83,4.27,khichdi,71.97,5.61
698,Tuesday,rajma,63.33,5.84,roti,20.64,4.03,pulao,30.3,3.27
841,Tuesday,dosa,86.52,11.38,rajma,19.14,2.44,paneer,21.48,4.39
494,Wednesday,roti,42.67,5.31,paneer,8.19,1.8,vada,27.0,3.12
489,Thursday,biryani,4.05,0.69,pulao,42.91,5.67,paratha,2.49,0.31
848,Friday,idli,31.64,2.67,vada,17.62,1.37,roti,78.09,14.29
163,Sunday,upma,31.59,1.95,idli,47.53,5.66,dosa,81.05,5.3
455,Saturday,paratha,38.17,7.73,dosa,68.27,15.69,rajma,52.2,11.75
440,Tuesday,chole,27.74,3.44,rajma,51.84,10.17,idli,98.38,12.26
682,Thursday,vada,79.74,13.69,biryani,11.45,1.89,dal,27.07,4.91
677,Wednesday,khichdi,16.83,1.43,dal,46.88,10.81,vada,67.6,10.51
985,Wednesday,vada,74.84,8.98,sambar,57.61,14.28,dal,72.71,3.75
982,Friday,poori,86.68,15.24,rajma,40.51,6.91,roti,35.68,4.17
720,Thursday,paneer,98.64,19.72,vada,95.49,5.69,chole,49.98,9.16
748,Monday,roti,83.39,19.15,khichdi,27.84,6.9,rajma,29.62,2.14
992,Thursday,paneer,51.27,12.57,vada,60.6,12.54,paratha,36.0,4.28
205,Tuesday,chole,81.72,5.32,paneer,12.02,2.64,rajma,89.53,14.24
396,Saturday,idli,77.66,7.5,rajma,57.83,5.95,dosa,30.44,1.9
255,Wednesday,rajma,19.55,2.74,poori,93.06,5.86,idli,94.14,20.7
116,Monday,vada,71.37,11.21,dosa,2.69,0.27,chole,58.2,5.9
779,Saturday,poori,92.58,14.57,roti,77.51,4.37,dosa,22.39,3.13
246,Saturday,dosa,63.63,11.44,roti,68.84,10.23,vada,78.94,5.15
361,Friday,vada,74.82,17.73,pulao,2.54,0.59,idli,60.5,11.24
404,Tuesday,paratha,56.7,10.9,pulao,81.67,5.31,dal,56.03,5.23
293,Thursday,biryani,22.75,5.53,vada,13.95,2.2,chole,80.87,9.35
169,Wednesday,rajma,5.12,0.61,pulao,7.1,1.16,dosa,70.38,6.83
940,Thursday,pulao,15.06,1.26,upma,77.91,19.42,dosa,42.1,5.61
435,Thursday,sambar,19.03,2.7,roti,54.91,10.75,vada,48.57,5.47
352,Monday,roti,30.15,6.88,dal,21.27,1.21,pulao,17.3,3.76
871,Sunday,paneer,1.34,0.13,biryani,72.4,12.53,sambar,77.69,13.33
855,Tuesday,dal,69.18,12.34,upma,48.09,6.09,sambar,5.11,1.21
880,Sunday,pulao,9.58,0.71,sambar,64.97,9.09,dosa,61.45,4.52
949,Saturday,dosa,23.93,2.99,poori,65.75,14.61,khichdi,72.09,4.75
871,Saturday,poori,54.62,11.65,upma,68.99,10.7,roti,77.48,9.88
758,Tuesday,pulao,31.82,6.95,paratha,8.48,1.71,idli,18.64,1.56
612,Friday,sambar,16.4,3.6,pulao,1.77,0.23,dal,18.69,1.16
313,Tuesday,biryani,18.72,4.46,khichdi,79.95,12.81,roti,32.66,2.85
310,Sunday,biryani,26.98,5.95,upma,18.45,2.76,roti,5.39,0.52
266,Monday,dal,54.22,7.73,roti,39.0,2.28,dosa,43.93,3.53
624,Tuesday,sambar,83.31,4.28,poori,37.64,3.99,khichdi,1.94,0.17
384,Friday,chole,95.14,11.53,roti,96.76,12.64,poori,98.57,23.33
454,Tuesday,dosa,33.03,6.99,chole,77.32,9.12,sambar,45.2,5.87
354,Monday,dosa,69.66,11.62,roti,56.03,10.17,chole,47.2,7.44
647,Wednesday,vada,4.78,0.87,dosa,15.13,3.11,rajma,61.78,9.81
277,Tuesday,rajma,86.03,10.0,vada,3.54,0.24,idli,61.13,14.56
693,Friday,upma,82.11,13.16,roti,93.22,14.96,idli,35.78,6.53
497,Sunday,chole,14.4,2.22,rajma,56.13,2.9,pulao,97.46,23.6
115,Sunday,poori,20.08,1.16,rajma,48.0,4.9,dal,48.82,5.39
783,Wednesday,dal,86.58,16.38,pulao,78.97,17.12,paratha,76.02,17.73
669,Monday,sambar,51.18,7.95,khichdi,60.63,9.76,paratha,37.03,7.89
407,Friday,paratha,83.33,10.5,pulao,44.2,4.63,idli,50.77,11.89
423,Sunday,biryani,82.03,10.1,upma,6.96,1.04,paneer,29.85,2.68
212,Sunday,paratha,50.12,6.21,poori,26.78,5.58,idli,19.26,3.88
716,Wednesday,paneer,88.94,16.94,idli,78.56,9.76,rajma,88.23,14.23
396,Friday,pulao,43.01,6.05,rajma,3.25,0.63,vada,91.44,9.39
675,Tuesday,khichdi,25.39,4.31,dal,64.86,13.88,pulao,98.76,23.32
422,Friday,khichdi,95.82,6.02,idli,93.37,5.62,dal,77.1,6.77
666,Saturday,biryani,58.65,8.65,rajma,6.78,0.52,roti,52.9,8.14
972,Friday,dosa,25.68,4.57,rajma,39.51,8.11,paneer,44.49,9.15
639,Saturday,rajma,26.98,5.59,upma,77.1,18.88,vada,93.44,11.34
354,Tuesday,poori,32.59,7.9,khichdi,24.41,4.79,paratha,50.76,8.99
252,Friday,dal,23.95,3.54,upma,56.96,9.85,roti,39.82,3.13
711,Saturday,idli,39.76,8.47,roti,84.01,20.83,vada,7.95,1.43
370,Monday,poori,19.03,4.11,paneer,76.06,5.56,vada,24.16,4.2
179,Sunday,khichdi,53.42,4.36,idli,32.08,7.03,paneer,56.93,6.38
716,Friday,pulao,97.03,16.85,sambar,14.34,1.87,dal,80.86,11.57
877,Thursday,sambar,19.1,4.45,rajma,21.93,3.23,paratha,24.01,1.31
304,Thursday,biryani,55.16,5.85,paratha,72.32,6.52,idli,89.93,7.42
507,Monday,idli,63.43,10.48,chole,22.86,5.38,upma,86.82,11.74
670,Thursday,poori,73.47,17.34,chole,98.71,21.08,paratha,43.08,9.17
487,Tuesday,rajma,82.19,14.42,paneer,58.61,13.74,pulao,35.53,3.49
166,Monday,dosa,64.53,4.84,idli,49.83,3.07,poori,31.3,4.11
814,Monday,paratha,99.3,20.96,paneer,60.71,8.65,roti,18.26,3.12
652,Saturday,paratha,55.6,3.51,roti,38.71,5.85,poori,89.83,16.74
341,Monday,paneer,1.93,0.44,roti,21.37,4.49,dal,29.67,4.02
998,Friday,roti,49.3,8.56,sambar,54.21,7.7,idli,62.53,7.7
167,Tuesday,dosa,36.95,8.88,sambar,24.77,2.1,pulao,79.43,6.99
339,Wednesday,pulao,86.83,6.35,paratha,10.79,0.92,dosa,4.61,0.76
460,Wednesday,idli,40.03,7.85,upma,87.48,14.1,roti,49.09,11.34
609,Friday,khichdi,40.95,5.31,rajma,19.51,1.03,idli,20.72,1.66
417,Friday,poori,35.43,6.25,sambar,4.39,0.71,paratha,70.11,12.58
378,Wednesday,poori,81.26,19.28,sambar,7.67,0.92,pulao,64.62,12.49
623,Thursday,biryani,70.5,8.79,chole,27.3,1.59,sambar,9.58,1.75
103,Tuesday,sambar,18.33,3.11,paratha,95.66,19.33,pulao,70.03,10.75
600,Wednesday,roti,83.61,7.31,paratha,45.23,5.84,paneer,62.63,3.78
168,Friday,rajma,45.01,10.85,paneer,86.59,7.69,poori,19.47,1.28
655,Sunday,idli,23.23,2.52,paneer,3.0,0.55,rajma,32.54,6.32
525,Friday,upma,7.11,1.16,sambar,99.25,23.3,chole,22.03,2.02
335,Wednesday,chole,97.0,5.03,paneer,23.74,5.59,sambar,73.54,9.32
640,Sunday,dosa,91.03,19.21,chole,17.31,3.56,paneer,64.98,13.97
474,Thursday,khichdi,95.11,18.82,paratha,9.91,1.94,upma,81.36,8.56
349,Saturday,biryani,71.25,12.06,pulao,87.77,13.65,rajma,65.72,11.66
102,Thursday,vada,3.88,0.43,idli,46.86,3.28,roti,28.0,2.75
912,Sunday,paneer,25.65,3.66,sambar,38.72,8.73,khichdi,68.14,7.36
711,Sunday,poori,41.38,10.26,idli,7.16,1.54,dosa,85.85,14.48
278,Wednesday,paratha,34.33,4.8,poori,59.48,9.71,roti,57.97,3.91
281,Thursday,sambar,36.95,5.24,roti,48.92,5.26,pulao,31.08,4.83
493,Tuesday,dosa,69.49,9.33,chole,36.91,7.27,vada,68.28,13.95
993,Saturday,vada,44.17,3.17,paneer,49.23,11.96,dosa,81.22,18.94
575,Saturday,biryani,56.72,3.65,upma,42.71,10.65,dosa,91.05,6.99
807,Friday,rajma,31.53,4.59,upma,97.92,20.0,biryani,39.69,3.01
199,Saturday,roti,21.98,4.2,khichdi,98.03,6.44,sambar,97.52,5.62
506,Thursday,sambar,34.47,5.33,chole,58.31,8.55,paratha,27.23,1.75
