no_of_student,day,item_1_name,item_1_cooked,item_1_left_over,item_2_name,item_2_cooked,item_2_left_over,item_3_name,item_3_cooked,item_3_left_over
577,Tuesday,upma,10.56,0.71,vada,11.15,2.76,paratha,16.62,2.08
576,Tuesday,roti,16.17,3.99,poori,13.3,1.61,vada,5.22,0.61
560,Tuesday,paratha,17.37,3.66,vada,15.7,2.06,rajma,9.63,1.02
549,Wednesday,upma,7.88,0.53,khichdi,17.86,4.06,idli,15.76,2.19
498,Saturday,paneer,14.09,1.69,rajma,14.77,3.16,poori,19.6,3.01
482,Saturday,poori,6.14,0.87,chole,15.31,3.49,paratha,7.74,1.82
457,Monday,chole,17.29,2.92,biryani,17.98,1.6,sambar,15.55,3.06
483,Friday,vada,15.73,3.83,pulao,15.59,2.38,chole,11.4,1.94
484,Thursday,idli,10.94,1.63,dosa,12.39,1.14,poori,11.22,1.81
497,Tuesday,upma,7.82,0.94,rajma,14.09,1.55,dal,5.31,1.25
574,Tuesday,khichdi,18.43,2.41,rajma,19.14,2.62,roti,7.35,1.01
449,Tuesday,sambar,5.58,0.77,dal,15.29,3.0,dosa,17.55,3.71
560,Thursday,poori,13.48,1.73,khichdi,17.46,2.35,rajma,13.59,3.11
558,Saturday,vada,7.7,1.13,paneer,12.05,2.32,rajma,14.61,1.35
498,Friday,paratha,13.3,2.84,khichdi,5.9,1.45,biryani,12.71,1.41
462,Monday,biryani,17.0,4.14,idli,17.67,2.04,dal,8.38,2.01
506,Saturday,khichdi,8.56,0.68,sambar,13.53,0.73,dal,12.5,3.09
590,Thursday,idli,6.69,1.39,dosa,16.33,2.75,roti,15.67,2.5
561,Tuesday,roti,12.21,2.47,dal,14.63,1.99,chole,19.1,1.18
592,Tuesday,biryani,13.18,1.02,sambar,9.47,1.36,idli,15.26,3.4
519,Sunday,khichdi,17.31,1.28,rajma,6.48,1.33,pulao,19.12,3.93
580,Sunday,poori,7.81,0.62,dal,17.99,1.52,paratha,19.86,2.0
494,Thursday,rajma,15.02,3.17,vada,8.81,1.1,dosa,16.31,1.76
552,Sunday,poori,15.55,2.24,idli,10.11,1.34,vada,17.06,3.59
499,Monday,vada,14.85,1.87,dosa,8.82,1.73,biryani,16.38,2.93
458,Thursday,paneer,12.17,2.92,upma,16.43,2.57,biryani,13.6,1.35
531,Sunday,poori,12.71,2.47,paratha,19.62,4.66,khichdi,17.33,3.39
538,Tuesday,chole,8.21,1.61,roti,8.06,1.02,pulao,10.94,1.36
597,Thursday,biryani,15.91,1.87,rajma,15.09,3.58,paratha,6.15,0.68
405,Saturday,biryani,13.69,3.1,poori,5.03,0.58,pulao,14.19,0.83
594,Sunday,paratha,15.16,1.06,idli,6.23,1.21,pulao,7.67,0.92
520,Thursday,upma,16.42,1.07,dosa,7.46,1.26,chole,14.89,1.47
479,Wednesday,pulao,12.72,0.65,khichdi,10.89,1.51,dal,6.0,1.14
586,Friday,pulao,12.78,2.8,paneer,13.45,1.96,idli,14.43,1.62
